"id","document","metadata","titre","prix","ville","source","lien","image_url","date_migration"
"fb_69a97f6185f1dd70f9aef290","Titre: CHAMBRE SALON NOUVELLE CONSTRUCTION À LOUER À AGOE ZOSSIMÉ 00228 93818957. Description: . Prix: 35000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/912380578391735/"", ""prix"": 35000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645992914_4373797646229342_2572159978485728045_n.jpg?stp=c0.79.720.720a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=db9c8c&_nc_ohc=pLLwcBQ7X-0Q7kNvwG8YPNP&_nc_oc=AdlnB67GfmMtYs0hf00OnVE2u8iqzwUjZsbrDRRhP7rP_xjdyuDzHqAZpgsXiR1l8AE&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyqbXvWCx-x6rjbtpCJ1pc8B3YGncCJkWAIQppHdyAfSg&oe=69AF59EA"", ""titre"": ""CHAMBRE SALON NOUVELLE CONSTRUCTION À LOUER À AGOE ZOSSIMÉ 00228 93818957"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","CHAMBRE SALON NOUVELLE CONSTRUCTION À LOUER À AGOE ZOSSIMÉ 00228 93818957","35000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/912380578391735/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645992914_4373797646229342_2572159978485728045_n.jpg?stp=c0.79.720.720a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=db9c8c&_nc_ohc=pLLwcBQ7X-0Q7kNvwG8YPNP&_nc_oc=AdlnB67GfmMtYs0hf00OnVE2u8iqzwUjZsbrDRRhP7rP_xjdyuDzHqAZpgsXiR1l8AE&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyqbXvWCx-x6rjbtpCJ1pc8B3YGncCJkWAIQppHdyAfSg&oe=69AF59EA","2026-03-05 15:01:50.908205"
"fb_69a97f6185f1dd70f9aef291","Titre: A louer Chambre salon wc douche ( SANGUERA KLIKAMÉ). Description: . Prix: 40000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/2684483168579170/"", ""prix"": 40000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/644939384_1583030959643636_2349636444480583078_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=92e707&_nc_ohc=doRo1ASfdJUQ7kNvwHO6iqK&_nc_oc=Adn7bDpgrCnY_pLw3Z3I_CHeGknTWgpd2fmS4q8fV9fBw1C-7t0-4fKRLhi-K3Kfan0&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afyj58ndLuVYvycGv4jj6C3r5rnDmm9qTJxP4MnBkwMcTQ&oe=69AF35C6"", ""titre"": ""A louer Chambre salon wc douche ( SANGUERA KLIKAMÉ)"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","A louer Chambre salon wc douche ( SANGUERA KLIKAMÉ)","40000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/2684483168579170/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/644939384_1583030959643636_2349636444480583078_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=92e707&_nc_ohc=doRo1ASfdJUQ7kNvwHO6iqK&_nc_oc=Adn7bDpgrCnY_pLw3Z3I_CHeGknTWgpd2fmS4q8fV9fBw1C-7t0-4fKRLhi-K3Kfan0&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afyj58ndLuVYvycGv4jj6C3r5rnDmm9qTJxP4MnBkwMcTQ&oe=69AF35C6","2026-03-05 15:01:50.908205"
"fb_69a97f6185f1dd70f9aef292","Titre: A louer deux chambre salon agoè daliko. Description: . Prix: 40000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/950492287403698/"", ""prix"": 40000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645048627_920723033646883_2968685794740593100_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=6ZgKengozH8Q7kNvwHdEZef&_nc_oc=Adm7145pplzsilBxmkhGxI7A-vClcO8w-VvrgxzHXGmWEb5aE0pE3QvpdoO6hzvMCbo&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfzzoRjUfDK9nJ1hWpz3rK-el5dkXO-ONVCk7OXso0dHwg&oe=69AF3EA5"", ""titre"": ""A louer deux chambre salon agoè daliko"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","A louer deux chambre salon agoè daliko","40000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/950492287403698/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645048627_920723033646883_2968685794740593100_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=6ZgKengozH8Q7kNvwHdEZef&_nc_oc=Adm7145pplzsilBxmkhGxI7A-vClcO8w-VvrgxzHXGmWEb5aE0pE3QvpdoO6hzvMCbo&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfzzoRjUfDK9nJ1hWpz3rK-el5dkXO-ONVCk7OXso0dHwg&oe=69AF3EA5","2026-03-05 15:01:50.908205"
"fb_69a97f6185f1dd70f9aef293","Titre: Chambre salon interne à louer. Description: . Prix: 35000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/1607897936999982/"", ""prix"": 35000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645310100_905700328749380_8390500327440108989_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_ohc=p0EgGHdVsHsQ7kNvwFUItlw&_nc_oc=Adl7aJK3XZB_EBO_AeQ_yCnlY6WnFy6LkN5qN6Z3TuEobycZ1B4p13MRkkVINFiccuQ&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afxx7QzeVCPF_6iypxWcyVuCifiIAdZhDURhutKO1PFaCg&oe=69AF538C"", ""titre"": ""Chambre salon interne à louer"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon interne à louer","35000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/1607897936999982/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645310100_905700328749380_8390500327440108989_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_ohc=p0EgGHdVsHsQ7kNvwFUItlw&_nc_oc=Adl7aJK3XZB_EBO_AeQ_yCnlY6WnFy6LkN5qN6Z3TuEobycZ1B4p13MRkkVINFiccuQ&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afxx7QzeVCPF_6iypxWcyVuCifiIAdZhDURhutKO1PFaCg&oe=69AF538C","2026-03-05 15:01:50.908205"
"fb_69a97f6185f1dd70f9aef294","Titre: Chambre salon wcd cuisine interne. Description: . Prix: 37000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/1187028059961092/"", ""prix"": 37000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646894229_4337578436474278_4054010505260762831_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=H7gXcJXzcxYQ7kNvwEAV7js&_nc_oc=AdlkskAnW6TcE5-tEynKXH-x_qnQwgZ7AIqzwwBk7zc_dcZrZHlSSrh1VcSFs4wovm4&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afw2zWEki1cmvpNRdBY0SyuIvgopycfxLexLEJya9Km7Lw&oe=69AF4FF0"", ""titre"": ""Chambre salon wcd cuisine interne"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon wcd cuisine interne","37000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/1187028059961092/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646894229_4337578436474278_4054010505260762831_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=H7gXcJXzcxYQ7kNvwEAV7js&_nc_oc=AdlkskAnW6TcE5-tEynKXH-x_qnQwgZ7AIqzwwBk7zc_dcZrZHlSSrh1VcSFs4wovm4&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afw2zWEki1cmvpNRdBY0SyuIvgopycfxLexLEJya9Km7Lw&oe=69AF4FF0","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1d9","Titre: Terain 1/2 lot Djidjolé pharmacie Point E. Description: . Prix: 30000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/terrains/terain-1-2-lot-djidjole-pharmacie-point-e-5802253"", ""prix"": 30000000.0, ""image"": ""https://images.coinafrique.com/thumb_5802253_uploaded_image1_1772540461.jpg"", ""titre"": ""Terain 1/2 lot Djidjolé pharmacie Point E"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Terain 1/2 lot Djidjolé pharmacie Point E","30000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/terrains/terain-1-2-lot-djidjole-pharmacie-point-e-5802253","https://images.coinafrique.com/thumb_5802253_uploaded_image1_1772540461.jpg","2026-03-05 15:01:50.908205"
"ask_69a97c3b85f1dd70f9aef260","Titre: terrain,vendre,lome,adidogome. Description: . Prix: 0.0 CFA. Ville: Lome.","{""lien"": ""#"", ""prix"": 0.0, ""image"": """", ""titre"": ""terrain,vendre,lome,adidogome"", ""ville"": ""Lome"", ""source"": ""ImmoAsk"", ""date_index"": ""2026-03-05""}","terrain,vendre,lome,adidogome","0.0","Lome","ImmoAsk","#","","2026-03-05 15:01:50.908205"
"fb_69a97f6185f1dd70f9aef295","Titre: Chambre salon Wcd interne cuisine terrasse à Avedji Lomé plaisir. Description: . Prix: 35000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/1980830259505148/"", ""prix"": 35000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645303837_1947456132799553_6282092795373243532_n.jpg?stp=c0.129.889.889a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=i2kK6RN1gjEQ7kNvwGEJ_V4&_nc_oc=AdlmTaQvF7ftxGHWSIiXMQmP71kV_cl5RVFuPhRBKMzRI_Uyyzs7k-jVfDaCxakrfvY&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfwH8guPxT69hrJAomD90xbNysh5dAOUoZQifGPmqTaR2A&oe=69AF523E"", ""titre"": ""Chambre salon Wcd interne cuisine terrasse à Avedji Lomé plaisir"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon Wcd interne cuisine terrasse à Avedji Lomé plaisir","35000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/1980830259505148/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645303837_1947456132799553_6282092795373243532_n.jpg?stp=c0.129.889.889a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=i2kK6RN1gjEQ7kNvwGEJ_V4&_nc_oc=AdlmTaQvF7ftxGHWSIiXMQmP71kV_cl5RVFuPhRBKMzRI_Uyyzs7k-jVfDaCxakrfvY&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfwH8guPxT69hrJAomD90xbNysh5dAOUoZQifGPmqTaR2A&oe=69AF523E","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef296","Titre: 2chambre salon interne à louer. Description: . Prix: 50000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/913124781451476/"", ""prix"": 50000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645252633_1551962515866054_4384552591346115879_n.jpg?stp=c0.159.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=Ix0zX2lEFbgQ7kNvwEb-rqu&_nc_oc=Adn7dqSCYZgCt_4QS2CoJqDnEik8GVUCyQPLHORHrdec2QwxmTwgFdd5CQKkp7O7VWY&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyK3XrWa1kjkMkL-33Bm_hNJwf5JqSPvNLqGjUy_ND9Hw&oe=69AF421D"", ""titre"": ""2chambre salon interne à louer"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","2chambre salon interne à louer","50000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/913124781451476/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645252633_1551962515866054_4384552591346115879_n.jpg?stp=c0.159.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=Ix0zX2lEFbgQ7kNvwEb-rqu&_nc_oc=Adn7dqSCYZgCt_4QS2CoJqDnEik8GVUCyQPLHORHrdec2QwxmTwgFdd5CQKkp7O7VWY&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyK3XrWa1kjkMkL-33Bm_hNJwf5JqSPvNLqGjUy_ND9Hw&oe=69AF421D","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef297","Titre: Chambre salon. Description: . Prix: 52500.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/2076272003159685/"", ""prix"": 52500.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646688898_1850610565643013_922932167106128168_n.jpg?stp=c0.0.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=92e707&_nc_ohc=9UkJEiLThZIQ7kNvwF55GEp&_nc_oc=Adl8x5978ZPyEAVc0GWb1yb8vPf3FDINSkKB2FHEuvSfr7fzOcU9xzcAmOi6Refk434&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afxh4bfUV072_MmELRym27hu0e8QpBPndLuf4Q1ZIGX0Bg&oe=69AF64F0"", ""titre"": ""Chambre salon"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon","52500.0","Togo","Facebook","https://www.facebook.com/marketplace/item/2076272003159685/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646688898_1850610565643013_922932167106128168_n.jpg?stp=c0.0.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=92e707&_nc_ohc=9UkJEiLThZIQ7kNvwF55GEp&_nc_oc=Adl8x5978ZPyEAVc0GWb1yb8vPf3FDINSkKB2FHEuvSfr7fzOcU9xzcAmOi6Refk434&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afxh4bfUV072_MmELRym27hu0e8QpBPndLuf4Q1ZIGX0Bg&oe=69AF64F0","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef298","Titre: Chambre salon terrasse à Avedji Lomé plaisir. Description: . Prix: 22000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/923589683595770/"", ""prix"": 22000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/642880376_1947027849509048_202691499103254166_n.jpg?stp=c82.0.852.852a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Zkvzg-d--cIQ7kNvwHaBfB2&_nc_oc=AdnE58OYZw5rwiQGDo5TF5izAKz8YxTvzsgzVJisOFmqNir4ph1GbOuxp974wz5Z67M&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afz1dr9jRjW-PFwuqRCiZ-4YJPPWy9JvD4PtqQjTEIv9mg&oe=69AF65EF"", ""titre"": ""Chambre salon terrasse à Avedji Lomé plaisir"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon terrasse à Avedji Lomé plaisir","22000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/923589683595770/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/642880376_1947027849509048_202691499103254166_n.jpg?stp=c82.0.852.852a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Zkvzg-d--cIQ7kNvwHaBfB2&_nc_oc=AdnE58OYZw5rwiQGDo5TF5izAKz8YxTvzsgzVJisOFmqNir4ph1GbOuxp974wz5Z67M&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afz1dr9jRjW-PFwuqRCiZ-4YJPPWy9JvD4PtqQjTEIv9mg&oe=69AF65EF","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef299","Titre: Chambre salon wcd cuisine interne plafonné carrelé bien aéré à wonyomé.... Description: . Prix: 50000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/1594645104918980/"", ""prix"": 50000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646277459_1427243869093454_4841420626086513884_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=pg2XZp83q0MQ7kNvwGimR1Q&_nc_oc=AdlOiZTgjk-pP4sCihm3q3k041IJ3exQ4VgDg_RWtOdRwqyA6x2WUbz1MtTAn-u1tRs&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyFFVxdnG88DupV-ntLWc5THnAnXBHvdGLJTsc8zpSfkw&oe=69AF423E"", ""titre"": ""Chambre salon wcd cuisine interne plafonné carrelé bien aéré à wonyomé..."", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon wcd cuisine interne plafonné carrelé bien aéré à wonyomé...","50000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/1594645104918980/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646277459_1427243869093454_4841420626086513884_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=pg2XZp83q0MQ7kNvwGimR1Q&_nc_oc=AdlOiZTgjk-pP4sCihm3q3k041IJ3exQ4VgDg_RWtOdRwqyA6x2WUbz1MtTAn-u1tRs&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyFFVxdnG88DupV-ntLWc5THnAnXBHvdGLJTsc8zpSfkw&oe=69AF423E","2026-03-05 15:01:50.908205"
"coin_69a9781885f1dd70f9aef1da","Titre: Location appartement meublé de 03 pièces à Kodjoviakopé. Description: . Prix: 1000000.0 CFA. Ville: Togo.","{""lien"": ""https://tg.coinafrique.com/annonce/appartements/location-appartement-meuble-de-03-pieces-a-kodjoviakope-5784033"", ""prix"": 1000000.0, ""image"": ""https://images.coinafrique.com/thumb_5784033_uploaded_image1_1771586751.jpg"", ""titre"": ""Location appartement meublé de 03 pièces à Kodjoviakopé"", ""ville"": ""Togo"", ""source"": ""CoinAfrique"", ""date_index"": ""2026-03-05""}","Location appartement meublé de 03 pièces à Kodjoviakopé","1000000.0","Togo","CoinAfrique","https://tg.coinafrique.com/annonce/appartements/location-appartement-meuble-de-03-pieces-a-kodjoviakope-5784033","https://images.coinafrique.com/thumb_5784033_uploaded_image1_1771586751.jpg","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef29a","Titre: Chambre salon interne Agoè Demakpoè. Description: . Prix: 40000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/1248840153346829/"", ""prix"": 40000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645061814_1537560277342097_7135590043501645135_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=69u426-2ThAQ7kNvwF2BnAJ&_nc_oc=AdlSgYMGBFuRqwJ9xvgh0H1WFROBz_ap4ZAKyhWlB4_IIvw1oEqDzhZRfmglo0jOkzI&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfxMmrmKJbEaK5U0UJ8FXRyhBpx05NAzZzVWVpExuYUvkg&oe=69AF479B"", ""titre"": ""Chambre salon interne Agoè Demakpoè"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon interne Agoè Demakpoè","40000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/1248840153346829/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645061814_1537560277342097_7135590043501645135_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=69u426-2ThAQ7kNvwF2BnAJ&_nc_oc=AdlSgYMGBFuRqwJ9xvgh0H1WFROBz_ap4ZAKyhWlB4_IIvw1oEqDzhZRfmglo0jOkzI&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfxMmrmKJbEaK5U0UJ8FXRyhBpx05NAzZzVWVpExuYUvkg&oe=69AF479B","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef29b","Titre: Chambre salon adidogome 96747005. Description: . Prix: 40000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/4526913024209035/"", ""prix"": 40000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646295442_951698021048952_8755847187834160543_n.jpg?stp=c0.78.723.723a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=aYdNscpvWJ8Q7kNvwFUHnmN&_nc_oc=Adkpd7gLNyeCYd-2VJJi8LrZ7SaxytMCHjQY-Q7igJuypk-pCuKvcBey-Dp7l38s7ZI&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afz7nNRQdpvCX5SF7cb2Komi3ld_AkLSprXxUvZwHPwnOQ&oe=69AF5D28"", ""titre"": ""Chambre salon adidogome 96747005"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","Chambre salon adidogome 96747005","40000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/4526913024209035/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646295442_951698021048952_8755847187834160543_n.jpg?stp=c0.78.723.723a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=aYdNscpvWJ8Q7kNvwFUHnmN&_nc_oc=Adkpd7gLNyeCYd-2VJJi8LrZ7SaxytMCHjQY-Q7igJuypk-pCuKvcBey-Dp7l38s7ZI&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afz7nNRQdpvCX5SF7cb2Komi3ld_AkLSprXxUvZwHPwnOQ&oe=69AF5D28","2026-03-05 15:01:50.908205"
"fb_69a97f6285f1dd70f9aef29c","Titre: COUR UNIQUE DE CHAMBRE SALON À SÉGBÉ. 99053971. Description: . Prix: 50000.0 CFA. Ville: Togo.","{""lien"": ""https://www.facebook.com/marketplace/item/910255038586021/"", ""prix"": 50000.0, ""image"": ""https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/647077082_835020816275998_8562522030470900685_n.jpg?stp=c280.0.720.720a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=XXKXxOe2tQYQ7kNvwGd2_Hw&_nc_oc=AdmYRYm6d9mYR_quvv7sDPCTkEr7Z1dRpX-aG-GVmrdxNpygZY8-8Hz_BMdUxd_kVqw&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afzqy0_KjO45Tmm1IeIzdIVU30NSlQNrNcoFd86wr0bejg&oe=69AF45E7"", ""titre"": ""COUR UNIQUE DE CHAMBRE SALON À SÉGBÉ. 99053971"", ""ville"": ""Togo"", ""source"": ""Facebook"", ""date_index"": ""2026-03-05""}","COUR UNIQUE DE CHAMBRE SALON À SÉGBÉ. 99053971","50000.0","Togo","Facebook","https://www.facebook.com/marketplace/item/910255038586021/","https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/647077082_835020816275998_8562522030470900685_n.jpg?stp=c280.0.720.720a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=XXKXxOe2tQYQ7kNvwGd2_Hw&_nc_oc=AdmYRYm6d9mYR_quvv7sDPCTkEr7Z1dRpX-aG-GVmrdxNpygZY8-8Hz_BMdUxd_kVqw&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afzqy0_KjO45Tmm1IeIzdIVU30NSlQNrNcoFd86wr0bejg&oe=69AF45E7","2026-03-05 15:01:50.908205"
